check_id,status,evidence,failure_message
primary_endpoint_frozen,pass,pBind_Ki,
primary_model_frozen,pass,AB_Ridge {'alpha': 1.0},
rf_comparator_frozen,pass,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": 1, ""random_state"": 20260914}",
outcome_firewall_declared,pass,"No numeric Ki value, derived pKi, or outcome-dependent statistic may influence membership, review order, structure standardization, applicability thresholds, model choice, or docking selection.",
external_outcomes_not_loaded,pass,model=false; implementation=false; pass1=false,
historical_holdout_not_reused,pass,0,
external_pass2_freeze_reconciles,pass,frozen_nonconfirmatory_floor_failure,
model_promotion_prohibited,pass,development promotion=false; automatic replacement=false,
model_mapping_matches_protocol,pass,development model mapping equals protocol,
prediction_hash_reconciles,pass,dbb448119ef652fbb4acd0667cd97636faa7aa08b2e99e5fad89d60c800fb668,
freeze_signature_reconciles,pass,49480a28f3e0a0342d635ac8692d3c4e5dc781ba1ad3b7d7cdfcc7f8196b9287,
tier_a_equilibration_gate_passed,pass,6/6 passed; no missing audits; Tier A pilot production authorized,
tier_a_production_not_started,pass,authorized=true; started=false,
tier_b_locked,pass,tier_a_equilibration_gate_passed,
no_best_replica_selection,pass,prohibited,
freeze_file_hash:config/protocol.v1.6.json,pass,72ff053253d9f7714ef450435a845bb4222eb6a3477d4d2f081ada17de5118a2,
freeze_file_hash:V16_PROTOCOL_AMENDMENT.md,pass,18abdeb489e80b15ff05074c71ae52a6d212e1c587229eb492259797e1a7f367,
status_artifact_hash:outputs/v1.6/protocol_freeze_manifest.json,pass,446e9f5e38c26360b710ee5a842cbb907989455f70814cf1bef4bdeb8d2ac9ce,
status_artifact_hash:outputs/v1.6/model_reproduction/development_results.json,pass,c7ab76ca99cd79ee3dc37b1028a9fcf0933253e3d3dd226969189103902384db,
status_artifact_hash:outputs/v1.6/md/ligand_bundles/campaign_manifest.json,pass,aad2162d9784003e6345580cc5c080469e30c6c8454931de43a7d10a5b377398,
status_artifact_hash:outputs/v1.6/external_evidence/pubmed_retrieval_audit.json,pass,79357ef76fa2453d7c5492394c8209bd07a0ef8aa97bbd6d3f47a7cbebc92131,
status_artifact_hash:outputs/v1.6/external_evidence/pmc_fulltext_retrieval_audit.json,pass,9cb14912de6ee76f594698b95fe7727a5d7908e79bbd14e7636d40ece61b0e2d,
status_artifact_hash:outputs/v1.6/external_evidence/pass1_metadata_preflight/pass1_metadata_preflight_audit.json,pass,9536bc10e09888512cc37ccec1539506bc6f2908589d59a1964a1dc6a54b5867,
status_artifact_hash:outputs/v1.6/external_evidence/pass2_source_extraction/pass2_source_extraction_audit.json,pass,f46828a0a569fdec47f265ec815fe51214878f37852e60bf9924a48af809b9d5,
status_artifact_hash:outputs/v1.6/external_evidence/pass2_source_extraction/cohort_freeze_manifest.json,pass,89d6a1ddd8ba4f2960a63df11713cc34ce505eb99a30c2376a9fa411a2f99cf0,
status_artifact_hash:outputs/v1.6/md/tier_a_constructs/construct_audit.json,pass,69adce104f5c3ad69e101c02c4dfd543951f8fe6f84a3ff94b5456bc898eb4f5,
status_artifact_hash:outputs/v1.6/md/tier_a_constructs/minimized/minimization_audit.json,pass,a791dc1f996e466a8aa389945ee7b5c6e10e3fb9cb77e3f42ae4c569d4e297f3,
status_artifact_hash:outputs/v1.6/md/native_control_ligands/native_pose_mapping_audit.json,pass,ad28ede2a82a769b0de19cf2b6fe38e371c8e3564f403ae674606f28f2821e99,
status_artifact_hash:outputs/v1.6/md/membrane_patch/patch_audit.json,pass,786cd78ff7bd3880802229ca1e1f971bcf9e00c3388240f82312bae9032ea5ef,
status_artifact_hash:outputs/v1.6/md/membrane_patch/patch_relaxation_audit.json,pass,61113b23e5d7e30c5f90e0a727a4c6d4f43481e24fd5f7aecddd78db745476ea,
status_artifact_hash:outputs/v1.6/md/tier_a_complex_preflight/complex_preflight_audit.json,pass,f996ca835bd60a98592c068c7a8664d3eb1cd8f234f6f37c0fb7ed9faec6e5a3,
status_artifact_hash:outputs/v1.6/md/tier_a_periodic_systems/periodic_assembly_audit.json,pass,34ad18db1dd6e66dd75d9e6a38c1a7e721df17b5ef8c1f94881c36de6d681770,
status_artifact_hash:outputs/v1.6/md/tier_a_smoke_tests/smoke_campaign_audit.json,pass,e96af587cf5a349ec8841ca47d394e447242434e057a9ab00cce67217169df16,
status_artifact_hash:outputs/v1.6/md/tier_a_release_bundles/campaign_manifest.json,pass,3e78a753c36e4a596714e0b25962c10a564e55149431034f38fb78e8d88ff120,
status_artifact_hash:outputs/v1.6/md/tier_a_equilibration/cuda_periodic_restraint_validation.json,pass,cac925c4ea121fdceb835aec55cbfaa9bb1bc2267e5e08241ebc4566e6992ef4,
status_artifact_hash:config/tier_a_equilibration.v1.6.4.json,pass,d41c52c915b704ea2d56d31f388c96f46026294d6744eedc7e622895c179cb77,
status_artifact_hash:outputs/v1.6/md/tier_a_equilibration/equilibration_gate_report.json,pass,9f5e377c4a2ca6754a710d491f520edee7663b432d147a90584dbcb4f555fd11,
